 % acoustic_params.win_size: 512
 % acoustic_params.hop_size: 256
 % acoustic_params.min_freq: 40
 % acoustic_params.max_freq: 6000
 % acoustic_params.num_mel_filts: 26
 % acoustic_params.ITW: 1
@relation train_feature_4_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 {1,2,}

@data
0.8616,0.96337,0.99268,0.96827,0.9642,1,0.80079,0.79023,0.81931,0.59441,0.60052,0.59146,0.57106,0.6192,0.54608,0.39408,0.41499,0.36876,0.29826,0.28032,0.24255,0.22576,0.24008,0.27383,0.31507,0.52627,-0.40861,1,0.2347,-0.40232,-0.23545,0.9131,0.53555,-0.36837,0.70125,-0.13108,-0.070148,-0.31499,0.9193,0.058378,0.024713,0.79249,0.29241,0.42814,0.62978,0.08121,-0.18441,0.25744,-0.047705,-0.041847,0.37321,0.26174,1
0.90474,0.99689,0.95873,0.95848,1,0.97851,0.7836,0.81406,0.8062,0.61028,0.63915,0.61705,0.61245,0.6268,0.51203,0.43315,0.38043,0.35356,0.30571,0.29216,0.27171,0.23008,0.25178,0.29494,0.3409,0.48593,0.17541,-0.086132,-0.22917,-0.25213,-0.42075,-0.33315,-0.27881,0.96511,0.53872,-0.30964,0.58823,1,-0.1189,-0.11207,0.33772,-0.14749,-0.48772,-0.095518,0.22803,0.21924,0.71147,-0.35714,0.42545,-0.46666,-0.12341,-0.54052,1
0.91614,0.97434,1,0.96698,0.99494,0.98641,0.80765,0.81075,0.7853,0.63059,0.62799,0.59864,0.62613,0.6254,0.50431,0.41486,0.40207,0.3401,0.33922,0.28817,0.24945,0.25315,0.28102,0.32256,0.3132,0.48583,-0.51404,-0.052098,0.6362,0.95923,0.40299,0.025161,0.057313,0.72912,0.61874,-0.00075228,0.21478,0.95567,0.86115,1,0.38098,0.81676,0.39237,0.30669,0.43299,0.241,0.16086,0.22951,0.54243,0.1078,-0.013071,0.093274,1
0.8643,0.96357,0.98738,0.94928,1,0.99386,0.8054,0.82972,0.8066,0.61772,0.63181,0.63489,0.62777,0.63087,0.53815,0.43138,0.42973,0.39445,0.32355,0.26781,0.25726,0.24564,0.27583,0.31591,0.32906,0.519,0.42852,0.4989,-0.39935,-0.15463,0.084712,-0.4541,-0.34939,0.37776,0.6518,0.55247,0.17265,0.2499,0.28312,0.21377,0.47288,-1.1224,0.54956,0.59812,0.087891,1,0.53176,0.78483,0.58195,0.72217,0.43653,0.64097,1
0.8996,0.99083,1,0.9937,0.99248,0.99696,0.82552,0.82139,0.81627,0.66314,0.6526,0.63109,0.62212,0.62353,0.5172,0.43314,0.43915,0.35812,0.31481,0.29356,0.26512,0.23655,0.26562,0.30626,0.34755,0.50675,-0.27718,-0.15144,0.18882,0.90826,0.68503,1,0.0041639,0.019108,-0.072563,0.18067,0.30719,0.2054,0.27223,0.21835,0.084929,0.36341,0.3284,0.20918,0.20732,0.016,-0.0079263,0.003537,0.085318,-0.043559,-0.03778,0.16391,1
0.86568,0.99349,1,0.96432,0.96566,0.97412,0.82468,0.79714,0.79815,0.63706,0.64085,0.59455,0.62473,0.593,0.51799,0.44659,0.41947,0.36965,0.30659,0.30718,0.25168,0.23756,0.26926,0.31358,0.33854,0.49935,0.55232,-0.0043563,-0.33313,0.44538,0.23668,-0.085201,0.31261,0.12331,0.26714,0.57058,0.42499,0.44081,0.56689,0.54819,0.41855,-1.0776,0.70172,-0.044244,0.51913,0.72032,1,0.73367,0.33363,0.40268,0.85707,-0.065902,1
0.84942,0.94057,0.96304,1,0.95761,0.9599,0.78789,0.78815,0.76633,0.62985,0.60581,0.58227,0.59318,0.61946,0.52114,0.4547,0.39639,0.35633,0.30808,0.28357,0.24005,0.22504,0.2634,0.28565,0.30657,0.49314,1,-0.27217,-0.0081479,0.24247,-0.10549,-0.082745,-0.05836,0.6211,0.3037,0.15067,-0.12691,-0.29428,-0.084542,-0.14667,-0.22865,-0.08035,-0.061087,-0.19959,0.41975,-0.12178,-0.014391,-0.16114,0.35085,-0.14013,0.17048,-0.092976,1
0.93446,1,0.98709,0.98486,0.98627,0.9874,0.82277,0.81278,0.7913,0.62132,0.61387,0.62504,0.62994,0.62598,0.54881,0.43457,0.44461,0.36475,0.33179,0.31954,0.2745,0.26263,0.28905,0.32932,0.36353,0.52492,-0.095882,-0.28138,-0.38723,0.7536,0.53779,0.32831,-0.09483,0.31573,0.91014,0.19759,1,0.73028,0.70258,0.9872,-0.60782,0.15155,0.87153,0.13094,0.10828,-0.31873,-0.37793,0.12292,-1.0153,0.80122,0.70499,0.52527,1
0.91379,1,0.96992,0.99586,0.97278,0.96561,0.80023,0.75977,0.7752,0.58998,0.58599,0.62044,0.59173,0.57204,0.49535,0.44167,0.42981,0.35456,0.32222,0.30102,0.26433,0.25471,0.27012,0.30816,0.35112,0.51704,-0.016718,0.11362,-0.33272,-0.42493,0.83431,-0.085542,1,-0.44659,-0.66794,0.54258,-0.26856,-0.20814,-0.44975,-0.35494,0.19099,-0.18565,-0.38274,0.084246,0.82452,-0.15403,0.18119,0.05507,-0.013584,0.28549,0.011608,0.91487,1
0.8723,0.96071,0.99316,1,0.98781,0.99391,0.80268,0.81787,0.82296,0.61424,0.63542,0.62731,0.59395,0.60774,0.52602,0.45452,0.43034,0.37549,0.30578,0.28679,0.25297,0.22834,0.26127,0.3009,0.35267,0.53909,-1.5814,-0.89936,-0.80971,0.48118,0.49109,0.47449,0.69037,0.31695,0.66717,0.60823,0.90055,0.81843,0.70129,0.87809,0.79707,0.50926,0.16619,0.59239,0.9233,0.9419,1,-0.59906,0.50531,0.8883,0.36015,0.88506,1
