 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 40
 % acoustic_params.max_freq: 6000
 % acoustic_params.num_mel_filts: 26
 % acoustic_params.ITW: 1
@relation train_feature_4_1_STO-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 {1,2,}

@data
0.069639,0.068809,0.072715,0.056499,0.055944,0.051696,0.044161,0.043209,0.043976,0.042375,0.038363,0.037212,0.032292,0.03294,0.032419,0.028569,0.027473,0.025017,0.023886,0.023728,0.021517,0.021692,0.021433,0.024866,0.026974,0.032594,-0.056696,0.034185,0.096961,0.1555,0.013043,-0.083847,-0.06114,0.0094596,0.037257,0.02895,0.021215,0.071381,0.014239,-0.075538,0.052774,0.015899,0.029959,0.017113,0.1235,0.1069,0.03663,0.11399,0.11457,0.069739,0.081167,0.032784,1
0.07366,0.070683,0.067049,0.0569,0.059633,0.050916,0.044527,0.042817,0.043968,0.042415,0.040553,0.036763,0.036376,0.030088,0.030053,0.030096,0.024727,0.024801,0.024866,0.021981,0.021361,0.021305,0.021585,0.022256,0.025617,0.035005,-0.0065612,-0.068504,-0.055766,-0.0086067,0.042467,-0.045487,0.099311,-0.10577,-0.067079,0.17289,0.036741,0.020815,0.010033,0.044077,0.079301,0.17353,0.081561,0.097556,-0.053287,0.1233,0.13635,0.061817,0.063719,0.071796,0.013029,0.082772,1
0.071178,0.069542,0.074208,0.057414,0.057398,0.05073,0.043286,0.04525,0.043101,0.043965,0.040099,0.03409,0.031987,0.031589,0.029777,0.029047,0.026139,0.024362,0.024091,0.020865,0.020403,0.021613,0.021082,0.024156,0.02771,0.03692,-0.034368,0.035721,0.022309,-0.012256,0.10654,0.12158,0.049368,0.028967,0.042425,-0.046602,0.069654,0.035267,0.097069,0.047864,0.024124,0.058077,0.059077,0.036556,0.082717,0.033331,0.009131,0.011643,0.023594,0.025809,0.055392,0.017017,1
0.063958,0.069688,0.071398,0.054085,0.059665,0.053165,0.044223,0.043963,0.04547,0.043794,0.039606,0.035411,0.035887,0.031306,0.031097,0.027777,0.025821,0.02412,0.025047,0.021821,0.022928,0.021391,0.021886,0.024447,0.027721,0.034326,-0.031616,-0.023318,0.028338,0.05452,0.064123,0.096946,0.028067,0.022546,0.087126,0.004822,0.065261,0.10525,0.00030213,0.098752,-0.11882,0.085883,0.05801,0.035963,0.053517,0.044808,0.03299,0.077608,-0.0031033,0.023564,0.058812,0.049647,1
0.073854,0.074048,0.070586,0.056673,0.058247,0.05281,0.04395,0.045275,0.045263,0.044294,0.039853,0.036609,0.033831,0.029927,0.029719,0.028571,0.025929,0.025484,0.024028,0.021607,0.01924,0.01925,0.020558,0.022727,0.023885,0.033782,-0.086128,0.17788,0.17284,-0.22124,-0.10245,0.20961,0.078535,0.17781,0.025254,-0.10299,0.26594,0.032915,0.20329,-0.1416,-0.053579,-0.086073,0.28885,-0.042253,-0.06144,0.2126,-0.089881,0.088981,-0.065321,0.024898,0.037592,0.055965,1
0.069716,0.07333,0.07081,0.054917,0.054959,0.051339,0.044994,0.044048,0.04587,0.043424,0.042917,0.035596,0.033412,0.030761,0.030034,0.026198,0.024855,0.026,0.02439,0.02213,0.022492,0.020342,0.02249,0.024273,0.026812,0.033891,0.39846,-0.036907,0.95204,1.7106,0.37544,0.16534,0.0076175,0.20745,-0.1056,1.1693,0.1132,1.0194,0.65575,-0.43155,-2.6663,0.90156,1.189,-0.55886,-1.2635,-0.18843,0.50439,0.41327,-0.23632,0.035096,-2.5096,-0.82081,1
0.069438,0.070824,0.071899,0.062756,0.06035,0.04755,0.042879,0.046352,0.042106,0.042984,0.041154,0.035052,0.032118,0.030885,0.031311,0.027028,0.025284,0.024691,0.02509,0.02229,0.020298,0.020252,0.021189,0.022381,0.026361,0.03748,-0.28293,0.081274,0.06912,0.054399,0.69991,0.2996,0.39647,-0.22048,-0.22999,-0.10953,-0.14093,-0.16207,0.2517,0.043519,-0.18555,0.05548,-0.24327,0.00348,-0.31194,0.16613,0.23184,0.24477,-0.027374,0.4826,-0.090407,-0.075832,1
0.071996,0.070055,0.06962,0.053484,0.059566,0.047865,0.043425,0.043289,0.040367,0.041211,0.037634,0.034819,0.035658,0.031701,0.031599,0.029586,0.026721,0.025781,0.026684,0.021924,0.021484,0.021348,0.024015,0.024231,0.027011,0.038928,-0.13175,-0.10683,0.063593,0.32204,0.14735,0.1025,0.21633,-0.17603,0.03245,0.098408,0.10227,-0.17658,-0.042443,0.15923,-0.36962,0.11094,0.14109,0.22871,-0.15228,0.056586,0.052369,0.17544,0.0032854,0.048503,-0.039065,0.1335,1
0.067278,0.064759,0.065968,0.058146,0.055152,0.050659,0.044584,0.040778,0.042707,0.043059,0.039629,0.036135,0.032833,0.030687,0.031216,0.030459,0.027403,0.027526,0.024137,0.024389,0.023309,0.022905,0.02372,0.025455,0.029281,0.037824,0.029507,0.017855,-0.0033737,0.062179,0.070163,0.060137,0.046631,0.08438,0.0043472,0.044855,0.045335,-0.11034,0.028873,0.060686,0.024368,-0.030802,0.056367,0.029832,0.032784,0.072469,0.063641,0.076884,0.072236,0.052009,0.038759,0.070222,1
0.068173,0.071559,0.072079,0.058982,0.059186,0.053665,0.043899,0.044491,0.046074,0.042744,0.037616,0.034635,0.033629,0.02923,0.031342,0.028349,0.026433,0.022622,0.022667,0.023082,0.021262,0.019759,0.020973,0.023058,0.027339,0.037155,-0.013768,-0.03144,-0.07467,0.10381,0.071748,-0.097934,0.21573,-0.015143,0.023992,-0.043109,-0.062469,-0.087147,-0.12304,0.0686,0.021623,0.11143,0.17625,0.064206,0.039429,0.13023,0.16913,0.1267,0.10152,0.15575,0.078305,-0.10973,1
0.070966,0.06864,0.073163,0.056695,0.059756,0.052172,0.045548,0.042679,0.04206,0.042303,0.035288,0.035216,0.032972,0.030939,0.028441,0.031274,0.027298,0.025288,0.025434,0.022165,0.022019,0.020744,0.022789,0.023779,0.026434,0.035938,-0.015332,0.02959,0.031952,0.069282,0.057687,0.078824,-0.052211,0.058366,0.061839,0.060868,-0.019107,0.063866,0.04019,0.027673,0.062136,0.078557,0.055211,0.036433,0.0706,0.04424,-0.079945,0.041975,0.06718,0.0057473,0.083865,0.040515,1
