 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 40
 % acoustic_params.max_freq: 6000
 % acoustic_params.num_mel_filts: 26
 % acoustic_params.ITW: 1
@relation train_feature_5_5_MAX-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 {1,2,}

@data
0.79848,0.84321,0.91394,0.88842,1,0.92903,0.58852,0.67237,0.62514,0.5357,0.54592,0.4697,0.47741,0.49268,0.51394,0.5742,0.49704,0.52182,0.44991,0.44003,0.41807,0.27808,0.2167,0.19353,0.13199,0.13478,0.74646,0.80133,1,0.4492,-0.46402,-0.67611,0.31953,-0.17757,-0.39705,0.057696,0.21244,0.10003,0.28336,0.91,-0.024014,-0.4082,-0.33418,-1.0311,0.97642,-0.36992,-0.50626,-0.43037,-0.12199,0.40098,0.12689,-0.060687,1
0.57421,0.511,0.57009,0.97761,1,0.75469,0.80769,0.82771,0.83919,0.84916,0.77254,0.83596,0.69122,0.59292,0.57411,0.55979,0.475,0.49273,0.42897,0.39267,0.36816,0.34016,0.23147,0.16877,0.12996,0.021041,0.17763,-0.28774,-0.94013,-0.43203,0.137,-0.89236,-0.46499,0.071923,0.18691,-0.27509,-0.54204,0.38088,0.68641,0.32936,0.37863,0.46527,0.15278,1,0.6063,0.5176,0.54358,0.49974,0.17645,0.28591,0.18147,0.048563,1
0.57826,0.49226,1,0.9399,0.86508,0.99927,0.96213,0.88122,0.84813,0.86713,0.82467,0.81658,0.72828,0.65482,0.52867,0.43089,0.388,0.33586,0.29527,0.26331,0.27675,0.26789,0.20176,0.14211,0.11541,0.040535,1,0.12735,0.075817,-0.54505,0.39482,0.48419,0.64327,0.73385,0.12019,0.62755,-0.031253,0.78093,-0.03607,-0.31508,-0.57862,0.25203,-0.0058211,0.19942,0.23411,0.75061,-0.41534,-1.1436,0.55249,0.5658,0.1349,-0.021968,1
0.60349,0.52953,0.93671,1,0.86555,0.82618,0.80616,0.7556,0.7277,0.75049,0.75571,0.70427,0.59357,0.47518,0.39495,0.36211,0.32923,0.31209,0.2795,0.30322,0.26657,0.22709,0.1579,0.14785,0.12408,0.053029,-0.42466,-0.081041,0.34359,0.16724,-0.24064,0.31894,-0.94669,0.14723,0.52988,0.58855,0.38074,0.40826,1,0.90591,0.3025,0.12718,0.11816,-0.013684,0.27945,0.036901,0.054675,-0.48131,-0.37505,-0.095216,-0.050755,0.059547,1
0.65374,0.55159,1,0.93825,0.74697,0.92131,0.78191,0.83231,0.78362,0.78481,0.62679,0.60711,0.60531,0.5606,0.49299,0.42507,0.35854,0.34664,0.30724,0.28811,0.29999,0.28273,0.20573,0.14924,0.13134,0.032018,-0.070596,0.55156,-1.0391,-0.23025,0.91504,0.52263,0.3143,0.056944,-0.50645,-0.11585,0.33717,-0.13756,-0.15129,0.013861,0.23112,0.75194,1,0.79719,0.57905,0.83165,0.79004,0.62593,0.77428,-0.4702,0.53211,0.59305,1
0.74257,0.74766,0.92282,0.96687,1,0.93922,0.75691,0.67675,0.62551,0.60434,0.56234,0.49144,0.45064,0.42566,0.42404,0.36612,0.34007,0.34087,0.33442,0.34172,0.33004,0.27297,0.25401,0.19156,0.17391,0.11434,0.77037,0.66728,1,0.24491,-0.26782,-0.16676,0.33978,0.31886,-0.11287,0.11139,0.15704,-0.11597,-0.090035,-0.042217,-0.30144,-0.48258,-0.54434,-0.58191,-0.048586,0.27311,0.58137,-0.11459,0.33451,0.29552,0.34331,0.076621,1
0.52479,0.48935,0.474,0.83461,1,0.80819,0.58663,0.6947,0.49621,0.54042,0.4986,0.46949,0.44027,0.4474,0.49107,0.51978,0.50579,0.49382,0.45031,0.38256,0.31703,0.25298,0.21077,0.15477,0.11512,0.044424,0.70213,0.30414,1,0.45323,-0.053187,-0.36997,0.48673,-0.22831,0.54296,-0.071083,-0.039484,0.21761,0.0070625,-3.1774e-05,0.093468,-0.33269,-1.3133,-0.8348,-0.04725,-0.13093,-0.25998,0.079802,-0.3266,-0.28429,0.21833,0.40499,1
0.6434,0.5662,0.95885,1,0.83103,0.78853,0.74317,0.79347,0.74351,0.73347,0.68122,0.55956,0.57922,0.57937,0.47904,0.38398,0.34578,0.34794,0.33513,0.2922,0.34319,0.34104,0.28914,0.22116,0.20558,0.15404,0.58076,0.92368,0.017492,0.56213,0.44058,-0.37358,-0.84765,-0.9835,-0.21137,1,0.12857,-0.43649,0.073802,-0.52866,-0.11059,0.10738,-0.06218,-0.24844,0.11038,-0.13868,-0.25481,0.19375,0.97239,0.010014,0.0077361,0.31122,1
0.81548,0.72145,0.9911,1,0.86314,0.91893,0.8946,0.8748,0.87035,0.78597,0.80677,0.63642,0.5774,0.53396,0.44855,0.37934,0.35126,0.35021,0.37016,0.33273,0.3609,0.31933,0.2654,0.22546,0.17911,0.15827,-0.74295,-0.60709,-0.40628,0.43498,0.40055,0.52918,0.81729,0.12035,1,0.57922,0.5508,0.89292,0.87042,-0.60245,0.035422,-0.070608,-1.0295,0.26445,-0.085841,-0.1581,0.094449,-0.53449,-0.25822,-0.32793,-0.30388,-0.19413,1
0.5715,0.51756,0.98134,1,0.74919,0.86983,0.71043,0.82012,0.87649,0.84346,0.74119,0.6556,0.63644,0.56466,0.41174,0.34465,0.3301,0.3337,0.25516,0.26408,0.32859,0.26845,0.19678,0.15352,0.12333,0.044594,-0.013094,0.046274,-0.14014,0.096584,0.061344,0.073397,-0.37659,0.18699,0.47873,0.80493,1,0.41102,0.85173,0.13326,-0.12803,-0.14409,0.15437,0.4494,0.076508,0.54736,0.70415,0.46721,0.45931,0.38708,0.17119,-0.047435,1
0.65555,0.65411,1,0.95704,0.83298,0.8712,0.77787,0.7202,0.65001,0.59118,0.48861,0.50119,0.42616,0.41718,0.42853,0.4125,0.43105,0.47063,0.40261,0.34784,0.32487,0.28166,0.24904,0.19709,0.11894,0.045602,-0.2797,-1.6105,-0.27172,0.065605,-0.45448,0.29671,0.75097,0.32828,0.41714,0.56423,0.23195,0.090888,0.5008,-0.24623,-0.26906,0.46786,0.030674,0.26971,0.4326,0.81598,0.68815,0.29346,1,0.40136,-0.031652,0.19009,1
0.78827,1,0.95826,0.85745,0.83601,0.82484,0.70395,0.71142,0.68242,0.62985,0.56807,0.5309,0.46419,0.42776,0.40703,0.32163,0.28158,0.30758,0.2772,0.22954,0.18793,0.17388,0.16053,0.13912,0.10674,0.041216,0.62974,-0.40623,-0.53539,-0.57146,-0.61366,0.11292,0.38801,-0.43488,-0.51886,0.33941,0.19956,-0.73229,0.39152,1,0.26265,0.53423,0.089665,0.3404,-0.050817,0.36162,0.35624,0.51548,0.21987,-0.37729,-0.18804,0.36148,1
